task,method,lambda,seed,late_window_pass8_mean,late_window_greedy_mean
maze,reciprocal_quadratic,2401.0,5000,0.778125,0.3292
maze,reciprocal_quadratic,6561.0,5000,0.778125,0.3316
maze,reciprocal_quadratic,14641.0,5000,0.7765625,0.3436
word_ladder,reciprocal_linear,31.0,5000,0.1015625,0.0408
word_ladder,reciprocal_linear,49.0,5000,0.10625,0.0467999999999999
word_ladder,reciprocal_linear,81.0,5000,0.109375,0.046
word_ladder,reciprocal_linear,121.0,5000,0.1125,0.0487999999999999
word_ladder,reciprocal_quadratic,961.0,5000,0.1078125,0.0464
word_ladder,reciprocal_quadratic,2401.0,5000,0.103125,0.05
word_ladder,reciprocal_quadratic,6561.0,5000,0.1,0.0504
word_ladder,reciprocal_quadratic,14641.0,5000,0.1171875,0.048
knights_knaves,reciprocal_linear,31.0,5000,0.6328125,0.3076
knights_knaves,reciprocal_linear,49.0,5000,0.6265625,0.3256
knights_knaves,reciprocal_linear,81.0,5000,0.66875,0.3256
knights_knaves,reciprocal_linear,121.0,5000,0.659375,0.3148
wikisql,reciprocal_linear,31.0,5000,0.790625,0.7424
wikisql,reciprocal_linear,49.0,5000,0.828125,0.7528
wikisql,reciprocal_linear,81.0,5000,0.81875,0.76
wikisql,reciprocal_linear,121.0,5000,0.83125,0.7592000000000001
wikisql,reciprocal_quadratic,961.0,5000,0.8171875,0.768
wikisql,reciprocal_quadratic,2401.0,5000,0.8140625,0.7544000000000001
wikisql,reciprocal_quadratic,6561.0,5000,0.834375,0.7744
wikisql,reciprocal_quadratic,14641.0,5000,0.828125,0.7744
word_sorting,reciprocal_linear,181.0,4000,0.584375,0.45
word_sorting,reciprocal_linear,271.0,4000,0.6015625,0.4628
word_sorting,reciprocal_linear,401.0,4000,0.6234375,0.4544
word_sorting,reciprocal_quadratic,32761.0,4000,0.6265625,0.4695999999999999
word_sorting,reciprocal_quadratic,73441.0,4000,0.6015625,0.4512
word_sorting,reciprocal_quadratic,160801.0,4000,0.6140625,0.4628
mini_sudoku,reciprocal_linear,181.0,4000,0.9515625,0.8827999999999999
mini_sudoku,reciprocal_linear,271.0,4000,0.9515625,0.8852
mini_sudoku,reciprocal_linear,401.0,4000,0.959375,0.882
mini_sudoku,reciprocal_quadratic,32761.0,4000,0.971875,0.8904
mini_sudoku,reciprocal_quadratic,73441.0,4000,0.9625,0.89
mini_sudoku,reciprocal_quadratic,160801.0,4000,0.959375,0.8924000000000001
maze,reciprocal_linear,181.0,4000,0.7625,0.3416
maze,reciprocal_linear,271.0,4000,0.7765625,0.3447999999999999
maze,reciprocal_linear,401.0,4000,0.7734375,0.3419999999999999
maze,reciprocal_quadratic,32761.0,4000,0.765625,0.34
maze,reciprocal_quadratic,73441.0,4000,0.771875,0.3424
maze,reciprocal_quadratic,160801.0,4000,0.7734375,0.3384
word_ladder,reciprocal_linear,181.0,4000,0.1265625,0.044
word_ladder,reciprocal_linear,271.0,4000,0.1140625,0.0412
word_ladder,reciprocal_linear,401.0,4000,0.1359375,0.0435999999999999
word_ladder,reciprocal_quadratic,32761.0,4000,0.1078125,0.0443999999999999
word_ladder,reciprocal_quadratic,73441.0,4000,0.1296875,0.0415999999999999
word_ladder,reciprocal_quadratic,160801.0,4000,0.125,0.04
knights_knaves,reciprocal_linear,181.0,4000,0.66875,0.3428
knights_knaves,reciprocal_linear,271.0,4000,0.6875,0.348
knights_knaves,reciprocal_linear,401.0,4000,0.6796875,0.3508
knights_knaves,reciprocal_quadratic,961.0,4000,0.675,0.3544
knights_knaves,reciprocal_quadratic,2401.0,4000,0.696875,0.348
knights_knaves,reciprocal_quadratic,6561.0,4000,0.6796875,0.344
knights_knaves,reciprocal_quadratic,14641.0,4000,0.671875,0.3444
knights_knaves,reciprocal_quadratic,32761.0,4000,0.6875,0.34
knights_knaves,reciprocal_quadratic,73441.0,4000,0.675,0.348
knights_knaves,reciprocal_quadratic,160801.0,4000,0.6765625,0.3428
graph_color,reciprocal_linear,31.0,4000,0.990625,0.9712
graph_color,reciprocal_linear,49.0,4000,0.9828125,0.9736
graph_color,reciprocal_linear,81.0,4000,0.984375,0.9576
graph_color,reciprocal_linear,121.0,4000,0.9765625,0.9748
graph_color,reciprocal_linear,181.0,4000,0.9796875,0.9604
graph_color,reciprocal_linear,271.0,4000,0.98125,0.9648
graph_color,reciprocal_linear,401.0,4000,0.9921875,0.9672
graph_color,reciprocal_quadratic,961.0,4000,0.984375,0.9524
graph_color,reciprocal_quadratic,2401.0,4000,0.9875,0.962
graph_color,reciprocal_quadratic,6561.0,4000,0.978125,0.9596
graph_color,reciprocal_quadratic,14641.0,4000,0.975,0.9584
graph_color,reciprocal_quadratic,32761.0,4000,0.990625,0.9652
graph_color,reciprocal_quadratic,73441.0,4000,0.9734375,0.9624
graph_color,reciprocal_quadratic,160801.0,4000,0.9765625,0.9548
wikisql,reciprocal_linear,181.0,4000,0.85,0.7776
wikisql,reciprocal_linear,271.0,4000,0.840625,0.7788
wikisql,reciprocal_linear,401.0,4000,0.846875,0.7764
wikisql,reciprocal_quadratic,32761.0,4000,0.8359375,0.7811999999999999
wikisql,reciprocal_quadratic,73441.0,4000,0.8390625,0.7740000000000001
wikisql,reciprocal_quadratic,160801.0,4000,0.84375,0.7716000000000001
word_sorting,reciprocal_linear,181.0,5000,0.621875,0.4604
word_sorting,reciprocal_linear,271.0,5000,0.6125,0.4628
word_sorting,reciprocal_linear,401.0,5000,0.634375,0.4775999999999999
word_sorting,reciprocal_quadratic,32761.0,5000,0.6265625,0.4724
word_sorting,reciprocal_quadratic,73441.0,5000,0.625,0.4756
word_sorting,reciprocal_quadratic,160801.0,5000,0.63125,0.4695999999999999
mini_sudoku,reciprocal_linear,181.0,5000,0.94375,0.8804000000000001
mini_sudoku,reciprocal_linear,271.0,5000,0.9453125,0.8744
mini_sudoku,reciprocal_linear,401.0,5000,0.9515625,0.8788
mini_sudoku,reciprocal_quadratic,32761.0,5000,0.9734375,0.892
mini_sudoku,reciprocal_quadratic,73441.0,5000,0.9609375,0.8968
mini_sudoku,reciprocal_quadratic,160801.0,5000,0.965625,0.8944000000000001
maze,reciprocal_linear,181.0,5000,0.771875,0.3256
maze,reciprocal_linear,271.0,5000,0.7765625,0.3296
maze,reciprocal_linear,401.0,5000,0.778125,0.3284
maze,reciprocal_quadratic,32761.0,5000,0.775,0.3268
maze,reciprocal_quadratic,73441.0,5000,0.7765625,0.3296
maze,reciprocal_quadratic,160801.0,5000,0.784375,0.3292
word_ladder,reciprocal_linear,181.0,5000,0.115625,0.0464
word_ladder,reciprocal_linear,271.0,5000,0.115625,0.0472
word_ladder,reciprocal_linear,401.0,5000,0.11875,0.0443999999999999
word_ladder,reciprocal_quadratic,32761.0,5000,0.1078125,0.046
word_ladder,reciprocal_quadratic,73441.0,5000,0.1171875,0.044
word_ladder,reciprocal_quadratic,160801.0,5000,0.1046875,0.0484
knights_knaves,reciprocal_linear,181.0,5000,0.671875,0.3104
knights_knaves,reciprocal_linear,271.0,5000,0.6515625,0.3252
knights_knaves,reciprocal_linear,401.0,5000,0.640625,0.3148
knights_knaves,reciprocal_quadratic,961.0,5000,0.675,0.3336
knights_knaves,reciprocal_quadratic,2401.0,5000,0.68125,0.3344
knights_knaves,reciprocal_quadratic,6561.0,5000,0.684375,0.3372
knights_knaves,reciprocal_quadratic,14641.0,5000,0.6703125,0.3416
knights_knaves,reciprocal_quadratic,32761.0,5000,0.6859375,0.3412
knights_knaves,reciprocal_quadratic,73441.0,5000,0.68125,0.3372
knights_knaves,reciprocal_quadratic,160801.0,5000,0.6796875,0.3419999999999999
graph_color,reciprocal_linear,31.0,5000,0.9796875,0.968
graph_color,reciprocal_linear,49.0,5000,0.9828125,0.9648
graph_color,reciprocal_linear,81.0,5000,0.9765625,0.9612
graph_color,reciprocal_linear,121.0,5000,0.978125,0.9628
graph_color,reciprocal_linear,181.0,5000,0.9828125,0.9684
graph_color,reciprocal_linear,271.0,5000,0.9890625,0.9828
graph_color,reciprocal_linear,401.0,5000,0.9890625,0.9848
graph_color,reciprocal_quadratic,961.0,5000,0.99375,0.9856
graph_color,reciprocal_quadratic,2401.0,5000,0.9921875,0.9708
graph_color,reciprocal_quadratic,6561.0,5000,0.9953125,0.9892
graph_color,reciprocal_quadratic,14641.0,5000,0.9859375,0.9756
graph_color,reciprocal_quadratic,32761.0,5000,0.990625,0.9652
graph_color,reciprocal_quadratic,73441.0,5000,0.9890625,0.9748
graph_color,reciprocal_quadratic,160801.0,5000,0.9953125,0.9832
