seed,protocol,embedding_mode,concentration_mode,method,alpha,far_lambda,completed_steps,terminal_class,task_performance_collapse,support_or_temperature_boundary,nan_inf_numerical_failure,final_hidden_optimal_probability,final_positive_support_probability,final_expected_semantic_reward,final_normalized_semantic_extrapolation,final_entropy_mean,final_effective_support_mean,final_effective_support_p05,final_concentration_mean,final_concentration_min,final_concentration_max
13,E6-A,aligned,fixed,positive_only,0.0,0.0,8000,formal_terminal_plateau,False,False,False,0.14097288250923157,0.595690906047821,0.858368992805481,-0.17981533706188202,2.2506117820739746,9.696409225463867,6.867490768432617,8.0,8.0,8.0
13,E6-A,aligned,fixed,local_only,0.25,0.0,8000,formal_terminal_plateau,False,False,False,0.18378561735153198,0.5188823342323303,0.8796571493148804,0.4349342882633209,2.244004726409912,9.630769729614258,6.811487197875977,8.0,8.0,8.0
13,E6-A,aligned,fixed,local_only,0.5,0.0,8000,formal_terminal_plateau,False,False,False,0.17490394413471222,0.3552260398864746,0.8704569339752197,1.0208314657211304,2.320096254348755,10.416998863220215,7.063959121704102,8.0,8.0,8.0
13,E6-A,aligned,fixed,local_only,0.75,0.0,8000,formal_terminal_plateau,False,False,False,0.10980886220932007,0.16020622849464417,0.8216601014137268,1.55558180809021,2.363708019256592,10.89289379119873,7.511321067810059,8.0,8.0,8.0
13,E6-B,aligned,learnable,positive_only,0.0,0.0,8000,formal_terminal_plateau,False,False,False,0.15519116818904877,0.6598693132400513,0.8701748251914978,-0.1783057451248169,1.9781980514526367,7.374908924102783,5.199860572814941,10.92999267578125,5.64323616027832,19.516372680664062
13,E6-B,aligned,learnable,far_zero,0.1,0.05,8000,formal_persistent_drift_or_inconclusive,False,False,False,0.20038233697414398,0.6765092611312866,0.8905001878738403,0.08209837228059769,1.6583590507507324,5.5086212158203125,3.269982099533081,16.9283504486084,3.927643299102783,45.26938247680664
13,E6-B,aligned,learnable,uncontrolled,0.1,0.05,8000,support_or_temperature_boundary,False,True,False,0.28742867708206177,0.7011353969573975,0.9152421355247498,0.09017132222652435,0.102364681661129,1.1363484859466553,1.0,491.80084228515625,370.5569152832031,535.1765747070312
13,E6-B,aligned,learnable,near_zero,0.1,0.05,8000,support_or_temperature_boundary,False,True,False,0.2163703888654709,0.7600900530815125,0.8964924812316895,-0.1259395182132721,0.18195965886116028,1.332942008972168,1.0,370.07208251953125,0.050000064074993134,510.5391845703125
13,E6-B,aligned,learnable,far_cap,0.1,0.05,8000,support_or_temperature_boundary,False,True,False,0.28426414728164673,0.7041376233100891,0.9150465130805969,0.09169739484786987,0.10161416977643967,1.1345603466033936,1.0,491.9358825683594,370.5361328125,535.2070922851562
13,E6-B,aligned,learnable,budget_matched_global,0.1,0.05,8000,support_or_temperature_boundary,False,True,False,0.28734755516052246,0.7006370425224304,0.9152138233184814,0.09140307456254959,0.09991411119699478,1.132792353630066,1.0,491.9703369140625,368.5387268066406,535.1976318359375
13,E6-C,aligned,learnable,positive_only,0.1,0.05,8000,formal_terminal_plateau,False,False,False,0.15519116818904877,0.6598693132400513,0.8701748251914978,-0.1783057451248169,1.9781980514526367,7.374908924102783,5.199860572814941,10.92999267578125,5.64323616027832,19.516372680664062
13,E6-C,aligned,learnable,far_zero,0.1,0.05,8000,formal_persistent_drift_or_inconclusive,False,False,False,0.20038233697414398,0.6765092611312866,0.8905001878738403,0.08209837228059769,1.6583590507507324,5.5086212158203125,3.269982099533081,16.9283504486084,3.927643299102783,45.26938247680664
13,E6-C,aligned,learnable,uncontrolled,0.1,0.05,8000,support_or_temperature_boundary,False,True,False,0.28742867708206177,0.7011353969573975,0.9152421355247498,0.09017132222652435,0.102364681661129,1.1363484859466553,1.0,491.80084228515625,370.5569152832031,535.1765747070312
13,E6-C,aligned,learnable,far_cap,0.1,0.05,8000,support_or_temperature_boundary,False,True,False,0.28426414728164673,0.7041376233100891,0.9150465130805969,0.09169739484786987,0.10161416977643967,1.1345603466033936,1.0,491.9358825683594,370.5361328125,535.2070922851562
13,E6-C,shuffled,learnable,positive_only,0.1,0.05,8000,formal_terminal_plateau,False,False,False,0.022786101326346397,0.13159959018230438,0.5265206694602966,0.1837182641029358,3.7103586196899414,42.2149658203125,24.78643798828125,2.201202154159546,0.15777993202209473,7.311690330505371
13,E6-C,shuffled,learnable,far_zero,0.1,0.05,8000,formal_terminal_plateau,False,False,False,0.02374689280986786,0.13965700566768646,0.5298921465873718,0.23693446815013885,3.603292465209961,38.372833251953125,20.837421417236328,2.551774740219116,0.16149115562438965,7.81422758102417
13,E6-C,shuffled,learnable,uncontrolled,0.1,0.05,8000,formal_terminal_plateau,False,False,False,0.023913059383630753,0.14688928425312042,0.5333393812179565,0.2283851057291031,3.508737325668335,35.56565856933594,17.312009811401367,2.875314474105835,0.13138870894908905,9.123228073120117
13,E6-C,shuffled,learnable,far_cap,0.1,0.05,8000,formal_terminal_plateau,False,False,False,0.023913059383630753,0.14688928425312042,0.5333393812179565,0.2283851057291031,3.508737325668335,35.56565856933594,17.312009811401367,2.875314474105835,0.13138870894908905,9.123228073120117
14,E6-A,aligned,fixed,positive_only,0.0,0.0,8000,formal_persistent_drift_or_inconclusive,False,False,False,0.1329229772090912,0.601936936378479,0.8533052802085876,-0.18945682048797607,2.2413077354431152,9.56297492980957,6.976624011993408,8.0,8.0,8.0
14,E6-A,aligned,fixed,local_only,0.25,0.0,8000,formal_terminal_plateau,False,False,False,0.17743320763111115,0.5332001447677612,0.8754411339759827,0.3354014456272125,2.21990966796875,9.356385231018066,6.849730491638184,8.0,8.0,8.0
14,E6-A,aligned,fixed,local_only,0.5,0.0,8000,formal_terminal_plateau,False,False,False,0.18431644141674042,0.3609161972999573,0.8721659183502197,0.9408779144287109,2.254236936569214,9.689162254333496,7.023059368133545,8.0,8.0,8.0
14,E6-A,aligned,fixed,local_only,0.75,0.0,8000,formal_terminal_plateau,False,False,False,0.11823873221874237,0.16409939527511597,0.823258638381958,1.4834853410720825,2.272387742996216,9.869674682617188,7.141073226928711,8.0,8.0,8.0
14,E6-B,aligned,learnable,positive_only,0.0,0.0,8000,formal_persistent_drift_or_inconclusive,False,False,False,0.14758197963237762,0.6663992404937744,0.8671706318855286,-0.18156491219997406,1.9583770036697388,7.211037635803223,5.220205783843994,10.522092819213867,7.250922679901123,15.10776424407959
14,E6-B,aligned,learnable,far_zero,0.1,0.05,8000,formal_persistent_drift_or_inconclusive,False,False,False,0.19252225756645203,0.6819460391998291,0.8888154029846191,0.025388069450855255,1.6871544122695923,5.552051067352295,3.7109198570251465,13.822775840759277,7.519725322723389,20.652196884155273
14,E6-B,aligned,learnable,uncontrolled,0.1,0.05,8000,support_or_temperature_boundary,False,True,False,0.25165438652038574,0.7399583458900452,0.9118776917457581,-0.00971980206668377,0.07466713339090347,1.0977952480316162,1.0,487.6932678222656,377.0688171386719,525.5296020507812
14,E6-B,aligned,learnable,near_zero,0.1,0.05,8000,support_or_temperature_boundary,False,True,False,0.20025192201137543,0.7824195623397827,0.8984534740447998,-0.1714371144771576,0.1327628195285797,1.1784348487854004,1.0,369.479248046875,25.98401641845703,465.6436767578125
14,E6-B,aligned,learnable,far_cap,0.1,0.05,8000,support_or_temperature_boundary,False,True,False,0.24971987307071686,0.7424168586730957,0.9119865894317627,-0.012733368203043938,0.07377675920724869,1.0966311693191528,1.0,487.75537109375,375.8008117675781,525.6922607421875
14,E6-B,aligned,learnable,budget_matched_global,0.1,0.05,8000,support_or_temperature_boundary,False,True,False,0.24624095857143402,0.7447416186332703,0.9112634658813477,-0.01430035661906004,0.07678945362567902,1.1010692119598389,1.0,488.1326904296875,377.1591491699219,525.4651489257812
14,E6-C,aligned,learnable,positive_only,0.1,0.05,8000,formal_persistent_drift_or_inconclusive,False,False,False,0.14758197963237762,0.6663992404937744,0.8671706318855286,-0.18156491219997406,1.9583770036697388,7.211037635803223,5.220205783843994,10.522092819213867,7.250922679901123,15.10776424407959
14,E6-C,aligned,learnable,far_zero,0.1,0.05,8000,formal_persistent_drift_or_inconclusive,False,False,False,0.19252225756645203,0.6819460391998291,0.8888154029846191,0.025388069450855255,1.6871544122695923,5.552051067352295,3.7109198570251465,13.822775840759277,7.519725322723389,20.652196884155273
14,E6-C,aligned,learnable,uncontrolled,0.1,0.05,8000,support_or_temperature_boundary,False,True,False,0.25165438652038574,0.7399583458900452,0.9118776917457581,-0.00971980206668377,0.07466713339090347,1.0977952480316162,1.0,487.6932678222656,377.0688171386719,525.5296020507812
14,E6-C,aligned,learnable,far_cap,0.1,0.05,8000,support_or_temperature_boundary,False,True,False,0.24971987307071686,0.7424168586730957,0.9119865894317627,-0.012733368203043938,0.07377675920724869,1.0966311693191528,1.0,487.75537109375,375.8008117675781,525.6922607421875
14,E6-C,shuffled,learnable,positive_only,0.1,0.05,8000,formal_terminal_plateau,False,False,False,0.022215353325009346,0.11040781438350677,0.527834951877594,-0.10243910551071167,3.8088576793670654,45.77378845214844,31.95274543762207,1.8442400693893433,0.5994139909744263,4.175747871398926
14,E6-C,shuffled,learnable,far_zero,0.1,0.05,8000,formal_terminal_plateau,False,False,False,0.023111652582883835,0.11705344915390015,0.5309983491897583,-0.14228352904319763,3.7213621139526367,42.45587158203125,25.940763473510742,2.132970094680786,0.5416597127914429,6.23856782913208
14,E6-C,shuffled,learnable,uncontrolled,0.1,0.05,8000,formal_terminal_plateau,False,False,False,0.023725144565105438,0.12253458052873611,0.535484790802002,-0.1683119237422943,3.641899824142456,39.6390266418457,21.838865280151367,2.3974804878234863,0.5561273097991943,7.060464382171631
14,E6-C,shuffled,learnable,far_cap,0.1,0.05,8000,formal_terminal_plateau,False,False,False,0.023726852610707283,0.12254569679498672,0.5354840159416199,-0.1683150827884674,3.641936779022217,39.640464782714844,21.832155227661133,2.3973093032836914,0.5562027096748352,7.058448791503906
15,E6-A,aligned,fixed,positive_only,0.0,0.0,8000,formal_terminal_plateau,False,False,False,0.14032918214797974,0.5956707000732422,0.8439440727233887,-0.21338148415088654,2.240264654159546,9.58504581451416,6.802514553070068,8.0,8.0,8.0
15,E6-A,aligned,fixed,local_only,0.25,0.0,8000,formal_terminal_plateau,False,False,False,0.18448233604431152,0.5308857560157776,0.8662760853767395,0.3028956353664398,2.219367027282715,9.390366554260254,6.673123836517334,8.0,8.0,8.0
15,E6-A,aligned,fixed,local_only,0.5,0.0,8000,formal_terminal_plateau,False,False,False,0.1935170590877533,0.36478379368782043,0.8657524585723877,0.9260587096214294,2.247776985168457,9.717944145202637,6.4682416915893555,8.0,8.0,8.0
15,E6-A,aligned,fixed,local_only,0.75,0.0,8000,formal_terminal_plateau,False,False,False,0.12629081308841705,0.17699725925922394,0.8199359178543091,1.4670870304107666,2.2828240394592285,10.108236312866211,6.440087795257568,8.0,8.0,8.0
